127.0.0.1 - - [21/May/2015:23:20:55 -0300] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [21/May/2015:23:20:58 -0300] "GET /ProyectoGestionEduc-Web/ HTTP/1.1" 200 3409
0:0:0:0:0:0:0:1 - - [21/May/2015:23:20:58 -0300] "GET /ProyectoGestionEduc-Web/css/estilo.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [21/May/2015:23:20:58 -0300] "GET /ProyectoGestionEduc-Web/css/fonts.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [21/May/2015:23:20:58 -0300] "GET /ProyectoGestionEduc-Web/js/codigo.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [21/May/2015:23:21:28 -0300] "GET /ProyectoGestionEduc-Web/ HTTP/1.1" 200 3409
0:0:0:0:0:0:0:1 - - [21/May/2015:23:21:28 -0300] "GET /ProyectoGestionEduc-Web/css/bootstrap.css HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [21/May/2015:23:21:28 -0300] "GET /ProyectoGestionEduc-Web/css/estilo.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [21/May/2015:23:21:28 -0300] "GET /ProyectoGestionEduc-Web/css/font-awesome.css HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [21/May/2015:23:21:28 -0300] "GET /ProyectoGestionEduc-Web/css/fonts.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [21/May/2015:23:21:28 -0300] "GET /ProyectoGestionEduc-Web/js/jquery-2.1.3.min.js HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [21/May/2015:23:21:28 -0300] "GET /ProyectoGestionEduc-Web/images/user.png HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [21/May/2015:23:21:28 -0300] "GET /ProyectoGestionEduc-Web/js/codigo.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [21/May/2015:23:21:30 -0300] "GET /ProyectoGestionEduc-Web/ HTTP/1.1" 200 3409
0:0:0:0:0:0:0:1 - - [21/May/2015:23:21:30 -0300] "GET /ProyectoGestionEduc-Web/css/bootstrap.css HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [21/May/2015:23:21:30 -0300] "GET /ProyectoGestionEduc-Web/css/estilo.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [21/May/2015:23:21:30 -0300] "GET /ProyectoGestionEduc-Web/css/font-awesome.css HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [21/May/2015:23:21:30 -0300] "GET /ProyectoGestionEduc-Web/js/jquery-2.1.3.min.js HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [21/May/2015:23:21:30 -0300] "GET /ProyectoGestionEduc-Web/css/fonts.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [21/May/2015:23:21:30 -0300] "GET /ProyectoGestionEduc-Web/js/codigo.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [21/May/2015:23:21:30 -0300] "GET /ProyectoGestionEduc-Web/images/user.png HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [21/May/2015:23:21:32 -0300] "GET /ProyectoGestionEduc-Web/ HTTP/1.1" 200 3409
0:0:0:0:0:0:0:1 - - [21/May/2015:23:21:32 -0300] "GET /ProyectoGestionEduc-Web/css/bootstrap.css HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [21/May/2015:23:21:32 -0300] "GET /ProyectoGestionEduc-Web/css/font-awesome.css HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [21/May/2015:23:21:32 -0300] "GET /ProyectoGestionEduc-Web/css/estilo.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [21/May/2015:23:21:32 -0300] "GET /ProyectoGestionEduc-Web/css/fonts.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [21/May/2015:23:21:32 -0300] "GET /ProyectoGestionEduc-Web/images/user.png HTTP/1.1" 404 1039
